region_id,station,observed_at,temperature_c,precipitation_mm_24h,wind_speed_mps,snow_depth_cm,cold_wave_risk,snowstorm_risk,drought_risk,data_source,source_id,dataset_name,is_sample,imported_at,n_grid_cells
gannan-luqu,CMFD_regional_gannan-luqu,2015-01-01 00:00,-10.5,13.4,1.8,0,高,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.313203+00:00,80
linzhi-bayi,CMFD_regional_linzhi-bayi,2015-01-01 00:00,-7.4,8.4,2.2,0,中,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.313312+00:00,144
naqu-bange,CMFD_regional_naqu-bange,2015-02-01 00:00,-9.0,3.0,4.1,0,中,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.328000+00:00,529
naqu-seni,CMFD_regional_naqu-seni,2015-02-01 00:00,-10.0,3.3,2.6,0,高,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.328265+00:00,280
naqu-nierong,CMFD_regional_naqu-nierong,2015-02-01 00:00,-10.7,1.6,3.4,0,高,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.328495+00:00,187
naqu-anduo,CMFD_regional_naqu-anduo,2015-02-01 00:00,-13.8,2.1,4.9,0,高,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.328839+00:00,1872
naqu-shenzha,CMFD_regional_naqu-shenzha,2015-02-01 00:00,-9.9,1.7,4.2,0,中,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.329087+00:00,440
changdu-karuo,CMFD_regional_changdu-karuo,2015-02-01 00:00,-6.0,2.5,1.8,0,中,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.329314+00:00,208
changdu-luolong,CMFD_regional_changdu-luolong,2015-02-01 00:00,-8.8,6.7,2.6,0,中,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.329508+00:00,140
changdu-leiwuqi,CMFD_regional_changdu-leiwuqi,2015-02-01 00:00,-5.6,2.5,2.3,0,中,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.329698+00:00,120
changdu-jiangda,CMFD_regional_changdu-jiangda,2015-02-01 00:00,-6.8,2.2,1.7,0,中,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.329909+00:00,256
rikaze-xietongmen,CMFD_regional_rikaze-xietongmen,2015-02-01 00:00,-9.0,1.9,2.8,0,中,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.330118+00:00,209
rikaze-jiangzi,CMFD_regional_rikaze-jiangzi,2015-02-01 00:00,-6.4,3.5,2.8,0,中,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.330364+00:00,77
rikaze-kangma,CMFD_regional_rikaze-kangma,2015-02-01 00:00,-8.5,5.0,3.2,0,中,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.330488+00:00,84
rikaze-zhongba,CMFD_regional_rikaze-zhongba,2015-02-01 00:00,-15.4,35.2,3.3,0,高,中,低,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.330618+00:00,702
shannan-cuona,CMFD_regional_shannan-cuona,2015-02-01 00:00,2.3,15.8,1.5,0,低,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.330737+00:00,480
ali-gaize,CMFD_regional_ali-gaize,2015-02-01 00:00,-15.0,9.2,4.2,0,高,低,中,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.330860+00:00,1892
yushu-chengduo,CMFD_regional_yushu-chengduo,2015-02-01 00:00,-10.8,2.0,3.4,0,高,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.330944+00:00,323
yushu-zaduo,CMFD_regional_yushu-zaduo,2015-02-01 00:00,-10.8,1.6,3.1,0,高,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.331037+00:00,578
guoluo-maqin,CMFD_regional_guoluo-maqin,2015-02-01 00:00,-9.9,1.7,2.5,0,中,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.331114+00:00,352
guoluo-jiuzhi,CMFD_regional_guoluo-jiuzhi,2015-02-01 00:00,-8.3,1.7,2.8,0,中,低,高,tpdc,cmfd-regional-v0106,CMFD_V0106_regional,False,2026-06-28T16:29:29.331181+00:00,150
